,day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id
0,0,0,41.881,-87.633,41.877,-87.622,1,0
1,0,0,41.892,-87.632,41.949,-87.652,1,1
2,0,0,41.95,-87.684,41.906,-87.675,1,2
3,0,0,41.967,-87.684,41.967,-87.694,1,3
4,0,1,41.892,-87.613,41.929,-87.666,1,4
5,0,1,41.922,-87.651,41.964,-87.652,1,5
6,0,1,41.951,-87.676,41.893,-87.638,1,6
7,0,2,41.885,-87.657,41.885,-87.643,1,7
8,0,2,41.929,-87.651,41.893,-87.638,1,8
9,0,3,41.892,-87.632,41.9,-87.68,1,9
10,0,3,41.943,-87.701,41.981,-87.827,1,10
11,0,4,41.922,-87.634,41.95,-87.644,1,11
12,0,5,41.893,-87.626,41.973,-87.664,1,12
13,0,6,41.798,-87.59,41.783,-87.604,1,13
14,0,6,41.979,-87.903,41.922,-87.664,1,14
15,0,7,41.95,-87.644,41.958,-87.66,1,15
16,0,9,41.891,-87.619,41.786,-87.751,1,16
17,0,10,41.844,-87.683,41.899,-87.626,1,17
18,0,11,41.9,-87.632,41.885,-87.643,1,18
19,0,13,41.891,-87.619,41.881,-87.633,1,19
20,0,13,41.891,-87.619,41.979,-87.903,1,20
21,0,13,41.9,-87.665,41.881,-87.633,1,21
22,0,14,41.786,-87.751,41.769,-87.629,1,22
23,0,14,41.806,-87.594,41.79,-87.601,1,23
24,0,14,41.863,-87.654,41.885,-87.643,1,24
25,0,15,41.893,-87.638,41.905,-87.65,1,25
26,0,15,41.979,-87.903,41.881,-87.633,1,26
27,0,16,41.881,-87.633,41.885,-87.657,1,27
28,0,16,41.893,-87.638,41.881,-87.633,1,28
29,0,16,41.979,-87.903,41.943,-87.641,1,29
30,0,17,41.895,-87.62,41.881,-87.633,1,30
31,0,17,41.956,-87.713,41.922,-87.656,1,31
32,0,17,42.005,-87.663,41.967,-87.684,1,32
33,0,18,41.728,-87.63,41.728,-87.576,1,33
34,0,18,41.872,-87.654,41.963,-87.67,1,34
35,0,18,41.9,-87.629,41.9,-87.67,1,35
36,0,18,41.936,-87.73,41.95,-87.713,1,36
37,0,19,41.872,-87.706,41.872,-87.706,1,37
38,0,19,41.885,-87.621,41.898,-87.621,1,38
39,0,19,41.97,-87.76,41.986,-87.769,1,39
40,0,20,41.885,-87.657,41.901,-87.694,1,40
41,0,21,41.798,-87.594,41.747,-87.557,1,41
42,0,21,41.885,-87.657,41.885,-87.657,1,42
43,0,21,41.885,-87.657,41.973,-87.664,1,43
44,0,21,41.929,-87.685,41.979,-87.903,1,44
45,0,22,41.893,-87.638,41.951,-87.667,1,45
46,0,22,41.905,-87.65,41.903,-87.626,1,46
47,0,22,41.923,-87.722,41.919,-87.721,1,47
48,0,23,41.868,-87.643,41.859,-87.617,1,48
49,0,23,41.871,-87.631,41.893,-87.638,1,49
50,1,2,41.922,-87.646,41.922,-87.634,1,50
51,1,3,41.898,-87.654,41.922,-87.634,1,51
52,1,3,41.905,-87.65,41.9,-87.632,1,52
53,1,3,41.949,-87.652,41.929,-87.651,1,53
54,1,4,41.906,-87.675,41.943,-87.643,1,54
55,1,6,41.892,-87.632,41.885,-87.621,1,55
56,1,6,41.892,-87.632,41.943,-87.701,1,56
57,1,6,41.892,-87.613,41.893,-87.638,1,57
58,1,9,41.871,-87.698,41.906,-87.771,1,58
59,1,14,41.978,-87.716,41.979,-87.903,1,59
60,1,19,41.786,-87.751,41.879,-87.643,1,60
61,1,19,41.849,-87.624,41.929,-87.651,1,61
62,1,19,41.907,-87.71,41.877,-87.622,1,62
63,1,21,41.881,-87.633,41.885,-87.657,1,63
64,1,21,41.922,-87.646,41.881,-87.633,1,64
65,1,22,41.929,-87.646,41.942,-87.666,1,65
66,1,22,41.96,-87.702,41.921,-87.7,1,66
67,1,23,41.922,-87.664,41.856,-87.683,1,67
68,1,23,41.929,-87.661,41.921,-87.7,1,68
69,2,0,41.849,-87.624,41.892,-87.632,1,69
70,2,0,41.885,-87.643,41.9,-87.632,1,70
71,2,1,41.805,-87.677,41.768,-87.698,1,71
72,2,1,41.994,-87.695,41.892,-87.632,1,72
73,2,2,41.791,-87.583,41.851,-87.635,1,73
74,2,2,41.885,-87.657,41.9,-87.665,1,74
75,2,3,41.892,-87.665,41.856,-87.644,1,75
76,2,4,41.898,-87.654,41.935,-87.752,1,76
77,2,5,41.856,-87.66,41.871,-87.631,1,77
78,2,5,41.871,-87.622,41.892,-87.629,1,78
79,2,5,41.879,-87.657,41.893,-87.638,1,79
80,2,7,41.849,-87.624,41.837,-87.653,1,80
81,2,7,41.885,-87.621,41.893,-87.626,1,81
82,2,7,41.936,-87.671,41.928,-87.7,1,82
83,2,8,41.892,-87.632,41.885,-87.621,1,83
84,2,9,41.973,-87.657,41.885,-87.621,1,84
85,2,15,42.006,-87.668,41.958,-87.676,1,85
86,2,16,41.929,-87.685,41.946,-87.654,1,86
87,2,18,41.871,-87.631,41.856,-87.675,1,87
88,2,18,41.987,-87.665,41.893,-87.626,1,88
89,2,19,41.906,-87.631,41.906,-87.675,1,89
90,2,20,41.885,-87.621,41.786,-87.751,1,90
91,2,20,41.892,-87.632,41.891,-87.619,1,91
92,2,20,41.908,-87.627,41.879,-87.643,1,92
93,2,21,41.893,-87.638,41.886,-87.672,1,93
94,2,21,41.908,-87.627,41.922,-87.641,1,94
95,2,21,41.912,-87.675,41.979,-87.903,1,95
96,2,21,41.943,-87.652,41.98,-87.671,1,96
97,2,22,41.835,-87.611,41.754,-87.632,1,97
98,2,22,41.929,-87.685,41.965,-87.721,1,98
99,2,23,41.879,-87.643,41.907,-87.636,1,99
